Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Skip,460170,5595847,1427844,2565,207881,A porter of any sort,207870,"New Belgium ""Mothership""",10734933,dont_know_both,2012-07-10 17:34:33 UTC,2012-07-10 17:34:33 UTC,3.363,"",TRUE,5c856391c9043cb3fcfe5fd5211746d6,kingmanbeer,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",DIRECT_VISIT,FALSE,NA
Bounce,NA,5595854,1427846,2565,207884,Something local and microbrewey,207879,Blue Moon,10734957,NA,2012-07-10 17:34:41 UTC,2012-07-10 17:34:41 UTC,NA,"",TRUE,13c19edc5a3116ee6c3393547b780d16,kingmanbeer,Mozilla/5.0 (Windows NT 6.0; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1,REFERRER_NOT_FOUND,FALSE,NA
Skip,460173,5595857,1427844,2565,207870,"New Belgium ""Mothership""",207880,A stout of any sort,10734952,dont_know_both,2012-07-10 17:34:49 UTC,2012-07-10 17:34:49 UTC,3.102,"",TRUE,5c856391c9043cb3fcfe5fd5211746d6,kingmanbeer,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",DIRECT_VISIT,FALSE,NA
Skip,460177,5595877,1427844,2565,207886,Kingman homebrew :),207887,Everclear.,10735166,dislike_both,2012-07-10 17:35:18 UTC,2012-07-10 17:35:18 UTC,4.709,"",TRUE,5c856391c9043cb3fcfe5fd5211746d6,kingmanbeer,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",DIRECT_VISIT,FALSE,NA
Bounce,NA,5595898,1427850,2565,207876,PBR,207887,Everclear.,10735167,NA,2012-07-10 17:36:00 UTC,2012-07-10 17:36:00 UTC,NA,"",TRUE,749d8459047a7c024738d643524b889a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5595907,1427844,2565,207869,"Bear Republic ""Racer 5"" IPA",207882,Something dark and chocolatey,10735061,NA,2012-07-10 17:36:17 UTC,2012-07-10 17:36:17 UTC,NA,"",TRUE,5c856391c9043cb3fcfe5fd5211746d6,kingmanbeer,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",DIRECT_VISIT,FALSE,NA
Bounce,NA,5595935,1427855,2565,207886,Kingman homebrew :),207877,"Stone ""Ruination"" IPA",10735119,NA,2012-07-10 17:39:55 UTC,2012-07-10 17:39:55 UTC,NA,"",TRUE,921f2411724bf0af5f57b4d53d2e06f4,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_6) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,5595985,1427860,2565,207873,"Sierra Nevada ""Summerfest""",207874,"Stone ""Arrogant Bastard"" Ale",10734811,NA,2012-07-10 17:44:16 UTC,2012-07-10 17:44:16 UTC,NA,"",TRUE,fab82559e777324c03d0d1038e085b2e,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,5595994,1427863,2565,207876,PBR,207871,"New Belgium ""Fat Tire""",10734725,NA,2012-07-10 17:45:21 UTC,2012-07-10 17:45:21 UTC,NA,"",TRUE,94baa6d33b1094e81662490d186f0db1,kingmanbeer,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,5595995,1427864,2565,207875,Guinness,207887,Everclear.,10735192,NA,2012-07-10 17:47:33 UTC,2012-07-10 17:47:33 UTC,NA,"",TRUE,e8e29feb30a1e8271b09917fcebcd2eb,kingmanbeer,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,5595996,1427865,2565,207877,"Stone ""Ruination"" IPA",207869,"Bear Republic ""Racer 5"" IPA",10734739,NA,2012-07-10 17:48:42 UTC,2012-07-10 17:48:42 UTC,NA,"",TRUE,dcdc3b59091c1870cfede1e3809f03a5,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,5596030,1427885,2565,207882,Something dark and chocolatey,207869,"Bear Republic ""Racer 5"" IPA",10734970,NA,2012-07-10 18:04:40 UTC,2012-07-10 18:04:40 UTC,NA,"",TRUE,22df20a8ff164d72266eba14d2c7911d,kingmanbeer,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,5596047,1427887,2565,207886,Kingman homebrew :),207880,A stout of any sort,10735131,NA,2012-07-10 18:07:15 UTC,2012-07-10 18:07:15 UTC,NA,"",TRUE,6ead8f6154bf982c714782e557eb1a2d,kingmanbeer,BlackBerry9700/5.0.0.400 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/117,REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5596210,1427897,2565,207878,An IPA of any sort,207884,Something local and microbrewey,10735024,NA,2012-07-10 18:18:11 UTC,2012-07-10 18:18:11 UTC,NA,"",TRUE,ffa0334a81819233f6253d1f50c7c3af,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Skip,460192,5596308,1427909,2565,207887,Everclear.,207876,PBR,10735205,dislike_both,2012-07-10 18:30:05 UTC,2012-07-10 18:30:05 UTC,6.215,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5596317,1427909,2565,207876,PBR,207873,"Sierra Nevada ""Summerfest""",10734738,NA,2012-07-10 18:30:26 UTC,2012-07-10 18:30:26 UTC,NA,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5596444,1427938,2565,207874,"Stone ""Arrogant Bastard"" Ale",207871,"New Belgium ""Fat Tire""",10734760,NA,2012-07-10 18:46:53 UTC,2012-07-10 18:46:53 UTC,NA,"",TRUE,2dbd1556adf411f9e7482b3b6e583948,kingmanbeer,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3",DIRECT_VISIT,FALSE,NA
Bounce,NA,5596474,1427948,2565,207880,A stout of any sort,207874,"Stone ""Arrogant Bastard"" Ale",10735045,NA,2012-07-10 18:54:27 UTC,2012-07-10 18:54:27 UTC,NA,"",TRUE,234518c5f32609ec0cd5c5c6b431298d,kingmanbeer,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1,DIRECT_VISIT,FALSE,NA
Skip,460204,5596544,1427981,2565,207869,"Bear Republic ""Racer 5"" IPA",207887,Everclear.,10735158,dislike_both,2012-07-10 19:28:52 UTC,2012-07-10 19:28:52 UTC,37.531,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0.1,http://www.allourideas.org/kingmanbeer/choices/207872,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5596567,1427981,2565,207887,Everclear.,207881,A porter of any sort,10735160,NA,2012-07-10 19:29:39 UTC,2012-07-10 19:29:39 UTC,NA,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0.1,http://www.allourideas.org/kingmanbeer/choices/207872,FALSE,NA
Skip,460205,5596613,1427991,2565,207882,Something dark and chocolatey,207878,An IPA of any sort,10734989,dislike_both,2012-07-10 19:33:46 UTC,2012-07-10 19:33:46 UTC,17.686,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2",DIRECT_VISIT,FALSE,NA
Skip,460206,5596625,1427991,2565,207872,"New Belgium ""1554""",207884,Something local and microbrewey,10735008,other,2012-07-10 19:34:00 UTC,2012-07-10 19:34:00 UTC,8.888,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2",DIRECT_VISIT,FALSE,NA
Skip,460207,5596630,1427991,2565,207886,Kingman homebrew :),207875,Guinness,10735113,dislike_both,2012-07-10 19:34:12 UTC,2012-07-10 19:34:12 UTC,7.364,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2",DIRECT_VISIT,FALSE,NA
Skip,460208,5596633,1427991,2565,207881,A porter of any sort,207869,"Bear Republic ""Racer 5"" IPA",10734911,dislike_both,2012-07-10 19:34:19 UTC,2012-07-10 19:34:19 UTC,6.136,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2",DIRECT_VISIT,FALSE,NA
Skip,460209,5596635,1427991,2565,207887,Everclear.,207869,"Bear Republic ""Racer 5"" IPA",10735202,dislike_both,2012-07-10 19:34:25 UTC,2012-07-10 19:34:25 UTC,5.217,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5596636,1427991,2565,207878,An IPA of any sort,207870,"New Belgium ""Mothership""",10734869,NA,2012-07-10 19:34:25 UTC,2012-07-10 19:34:25 UTC,NA,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5596669,1428000,2565,207871,"New Belgium ""Fat Tire""",207883,Something with a high alcohol content,10735005,NA,2012-07-10 19:37:09 UTC,2012-07-10 19:37:09 UTC,NA,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B208 Safari/7534.48.3",DIRECT_VISIT,FALSE,NA
Bounce,NA,5596680,1428007,2565,207871,"New Belgium ""Fat Tire""",207868,Sierra Nevada Pale Ale,10734776,NA,2012-07-10 19:40:13 UTC,2012-07-10 19:40:13 UTC,NA,"",TRUE,a6e51dbf460dc351917cd200f2dacf53,kingmanbeer,"Mozilla/5.0 (Linux; U; Android 2.1-update1; en-us; A6277 Build/ERE27) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17 Sprint APA6277KT",REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5596683,1428008,2565,207881,A porter of any sort,207882,Something dark and chocolatey,10735041,NA,2012-07-10 19:41:21 UTC,2012-07-10 19:41:21 UTC,NA,"",TRUE,bef10d1c122228929e6c3e6dfeafca21,kingmanbeer,Mozilla/5.0 (Windows NT 5.1; rv:6.0) Gecko/20100101 Firefox/6.0,DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5596734,1427999,2565,207943,BLUE MOON,207885,An ale of any sort,10736884,NA,2012-07-10 19:44:49 UTC,2012-07-10 19:44:49 UTC,NA,"",TRUE,694111fea88bf644dde84986154e15d1,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Skip,460217,5596759,1428015,2565,207885,An ale of any sort,207881,A porter of any sort,10735066,dont_know_both,2012-07-10 19:48:51 UTC,2012-07-10 19:48:51 UTC,10.65,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Skip,460218,5596763,1428015,2565,207877,"Stone ""Ruination"" IPA",207878,An IPA of any sort,10734863,both_same,2012-07-10 19:49:21 UTC,2012-07-10 19:49:21 UTC,15.421,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Skip,460219,5596766,1428015,2565,207877,"Stone ""Ruination"" IPA",207872,"New Belgium ""1554""",10734750,dont_know_both,2012-07-10 19:49:30 UTC,2012-07-10 19:49:30 UTC,4.201,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5596771,1428015,2565,207880,A stout of any sort,207877,"Stone ""Ruination"" IPA",10735022,NA,2012-07-10 19:49:50 UTC,2012-07-10 19:49:50 UTC,NA,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Skip,460238,5596900,1428029,2565,207943,BLUE MOON,207879,Blue Moon,10736904,both_same,2012-07-10 20:02:08 UTC,2012-07-10 20:02:08 UTC,16.44,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Skip,460245,5597103,1428029,2565,207875,Guinness,207879,Blue Moon,10734942,dislike_both,2012-07-10 20:21:16 UTC,2012-07-10 20:21:16 UTC,6.252,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",http://www.allourideas.org/kingmanbeer/results?more=true,FALSE,NA
Skip,460246,5597182,1428029,2565,207943,BLUE MOON,207875,Guinness,10736895,dislike_both,2012-07-10 20:29:40 UTC,2012-07-10 20:29:40 UTC,5.32,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",http://www.allourideas.org/kingmanbeer/results?more=true,FALSE,NA
Skip,460247,5597192,1428029,2565,207943,BLUE MOON,207875,Guinness,10736895,dislike_both,2012-07-10 20:30:48 UTC,2012-07-10 20:30:48 UTC,5.335,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",http://www.allourideas.org/kingmanbeer/results?more=true,FALSE,NA
Skip,460255,5597336,1428029,2565,207875,Guinness,207882,Something dark and chocolatey,10735009,dislike_both,2012-07-10 20:38:24 UTC,2012-07-10 20:38:24 UTC,9.328,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",http://www.allourideas.org/kingmanbeer/results,FALSE,NA
Skip,460258,5597433,1428029,2565,207879,Blue Moon,207943,BLUE MOON,10736900,dislike_both,2012-07-10 20:43:34 UTC,2012-07-10 20:43:34 UTC,3.841,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",http://www.allourideas.org/kingmanbeer/results,FALSE,NA
Skip,460259,5597465,1428029,2565,207882,Something dark and chocolatey,207879,Blue Moon,10734966,dislike_both,2012-07-10 20:47:41 UTC,2012-07-10 20:47:41 UTC,10.03,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",http://www.allourideas.org/kingmanbeer/results,FALSE,NA
Skip,460260,5597468,1428029,2565,207943,BLUE MOON,207879,Blue Moon,10736904,dislike_both,2012-07-10 20:47:52 UTC,2012-07-10 20:47:52 UTC,3.651,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",http://www.allourideas.org/kingmanbeer/results,FALSE,NA
Skip,460261,5597473,1428029,2565,207875,Guinness,207882,Something dark and chocolatey,10735009,dislike_both,2012-07-10 20:48:22 UTC,2012-07-10 20:48:22 UTC,5.211,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",http://www.allourideas.org/kingmanbeer/results,FALSE,NA
Skip,460262,5597518,1428029,2565,207882,Something dark and chocolatey,207943,BLUE MOON,10736887,dislike_both,2012-07-10 20:52:55 UTC,2012-07-10 20:52:55 UTC,8.481,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Skip,460263,5597522,1428029,2565,207881,A porter of any sort,207879,Blue Moon,10734902,dislike_both,2012-07-10 20:53:06 UTC,2012-07-10 20:53:06 UTC,3.579,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Skip,460264,5597615,1428029,2565,207943,BLUE MOON,207875,Guinness,10736895,dislike_both,2012-07-10 21:00:34 UTC,2012-07-10 21:00:34 UTC,2.965,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Skip,460265,5597735,1428029,2565,207875,Guinness,207879,Blue Moon,10734942,dislike_both,2012-07-10 21:10:27 UTC,2012-07-10 21:10:27 UTC,3.18,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5597820,1428029,2565,207884,Something local and microbrewey,207887,Everclear.,10735210,NA,2012-07-10 21:15:39 UTC,2012-07-10 21:15:39 UTC,NA,"",TRUE,1bc8052fc357986cea6bf530ff4d5d3a,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Bounce,NA,5597838,1428155,2565,207886,Kingman homebrew :),207876,PBR,10735135,NA,2012-07-10 21:32:00 UTC,2012-07-10 21:32:00 UTC,NA,"",TRUE,c935f8d60ba8a0ed5d7f2250a6c3dac0,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",REFERRER_NOT_FOUND,FALSE,NA
